電力会社ID,電力会社名,電力会社英名,プランID,プラン名,プラン説明,プラン変更方法,カスタマーセンターURL,実施日,新規加入終了日,基本料金タイプID,基本料金タイプ,基本料金単価,一段階基本料金,一段階と二段階間の契約容量（kVA）,二段階基本料金,二段階と三段階間の契約容量（kVA）,三段階基本料金,最低料金,電力量閾値(kWh),電力量料金タイプID,電力量料金タイプ,電力量単価（一段階）,一段階と二段階間の閾値電力量（kWh）,電力量単価（二段階）,二段階と三段階間の閾値電力量（kWh）,電力量単価（三段階）,デイタイム開始時間,デイタイム終了時間,夜間単価,夜間開始時間,夜間終了時間,土日単価,朝夕単価,夏期ピーク単価,夏期ピーク開始日,夏期ピーク終了日,夏期ピーク開始時間,夏期ピーク終了時間,冬季開始日,冬季終了日,冬季昼間単価（一段階）,冬季昼間一段階と二段階間の閾値電力量（kWh）,冬季昼間単価（二段階）,冬季昼間二段階と三段階間の閾値電力量（kWh）,冬季昼間単価（三段階）,冬季ピーク単価,冬季ピーク開始時間,冬季ピーク終了時間
1,東京電力,tepco,1,従量電灯BC,昼間の在宅が多い家庭や時間帯や曜日を気にせずに電気を使いたい方におススメのスタンダードなメニューです。,ほかのメニューに変更するには電力会社に申請する必要があります。以下のリンク先から最寄りの営業所を選び、電話等で料金プランの変更を依頼ください。,http://www.tepco.co.jp/info/custom/center,2014/3/1,,1,単価型,280.8,,,,,,230.86,,1,従量電灯三段階型,19.43,120,25.91,300,29.93,,,,,,,,,,,,,,,,,,,,,,
1,東京電力,tepco,2,朝得プラン,深夜1時から朝9時までの時間帯がおトクになる料金設定です。朝からアクティブに過ごす方におススメのメニューです。,ほかのメニューに変更するには電力会社に申請する必要があります。以下のリンク先から最寄りの営業所を選び、電話等で料金プランの変更を依頼ください。,http://www.tepco.co.jp/info/custom/center,2014/3/1,,2,三段階型,,1296,6,2160,10,280.8,,,2,昼三段階型,23.93,90,31.9,230,36.85,,,12.19,1,9,,,,,,,,,,,,,,,,,
1,東京電力,tepco,3,夜得プラン,夜9時から朝5時までの時間帯がおトクになる料金設定です。夜は、家でゆっくりと趣味の時間を過ごしたい、夜型生活の方におススメのメニューです。,ほかのメニューに変更するには電力会社に申請する必要があります。以下のリンク先から最寄りの営業所を選び、電話等で料金プランの変更を依頼ください。,http://www.tepco.co.jp/info/custom/center,2014/3/1,,2,三段階型,,1296,6,2160,10,280.8,,,2,昼三段階型,24.03,90,32.03,230,37,,,12.48,21,5,,,,,,,,,,,,,,,,,
1,東京電力,tepco,4,半日お得プラン,夜9時から朝9時までの時間帯がおトクになる料金設定です。朝に家事をかたづけて、夜は家でくつろいで過ごす方などにおススメのメニューです。,ほかのメニューに変更するには電力会社に申請する必要があります。以下のリンク先から最寄りの営業所を選び、電話等で料金プランの変更を依頼ください。,http://www.tepco.co.jp/info/custom/center,2014/3/1,,2,三段階型,,1296,6,2160,10,280.8,,,2,昼三段階型,28.38,70,37.84,170,43.71,,,12.59,21,9,,,,,,,,,,,,,,,,,
1,東京電力,tepco,5,土日お得プラン,土日が一日中おトクになる料金設定です。土日に在宅していることが多い方、土日にまとめて家事をされる方などにおススメのメニューです。,ほかのメニューに変更するには電力会社に申請する必要があります。以下のリンク先から最寄りの営業所を選び、電話等で料金プランの変更を依頼ください。,http://www.tepco.co.jp/info/custom/center,2014/3/1,,1,単価型,280.8,,,,,,230.86,,3,平日三段階型,20.97,90,27.97,230,32.3,,,,,,20.69,,,,,,,,,,,,,,,,
1,東京電力,tepco,6,電化上手,給湯もキッチンも電気のお宅、オール電化住宅にお住まいの方などにおススメのメニューです。,ほかのメニューに変更するには電力会社に申請する必要があります。以下のリンク先から最寄りの営業所を選び、電話等で料金プランの変更を依頼ください。,http://www.tepco.co.jp/info/custom/center,2014/3/1,,2,三段階型,,1296,6,2160,10,280.8,323.74,,4,夏季ピーク朝夕昼夜型,31.64,,,,,10,17,12.16,23,7,,25.92,38.63,7/1,9/30,10,17,,,,,,,,,,
1,東京電力,tepco,7,おトクなナイト8,お得な夜間時間を８時間にしたプランです。エコキュートや電気温水器を設置しているなど、夜間のご使用量が多い方におススメのメニューです。,ほかのメニューに変更するには電力会社に申請する必要があります。以下のリンク先から最寄りの営業所を選び、電話等で料金プランの変更を依頼ください。,http://www.tepco.co.jp/info/custom/center,2014/3/1,,2,三段階型,,1296,6,2160,10,280.8,323.74,,2,昼三段階型,23.81,90,31.75,230,36.68,,,12.16,23,7,,,,,,,,,,,,,,,,,
1,東京電力,tepco,8,おトクなナイト10,お得な夜間時間を１０時間にしたプランです。エコキュートや電気温水器を設置しているなど、夜間のご使用量が多い方におススメのメニューです。,ほかのメニューに変更するには電力会社に申請する必要があります。以下のリンク先から最寄りの営業所を選び、電話等で料金プランの変更を依頼ください。,http://www.tepco.co.jp/info/custom/center,2014/3/1,,2,三段階型,,1296,6,2160,10,280.8,323.74,,2,昼三段階型,25.92,80,34.56,200,39.92,,,12.41,22,8,,,,,,,,,,,,,,,,,
1,東京電力,tepco,9,ピークシフトプラン,電気の使用量が多く、夏のピーク時間（午後1時から4時）の電気のご使用を他の時間帯にシフトできる方におススメのメニューです。,ほかのメニューに変更するには電力会社に申請する必要があります。以下のリンク先から最寄りの営業所を選び、電話等で料金プランの変更を依頼ください。,http://www.tepco.co.jp/info/custom/center,2014/3/1,,2,三段階型,,1296,6,2160,10,280.8,,,5,夏季ピーク型,28.99,,,,,,,12.16,23,7,,,54.68,7/1,9/30,13,16,,,,,,,,,,
2,北海道電力,hepco,1,従量電灯BC,昼間の在宅が多い家庭や時間帯や曜日を気にせずに電気を使いたい方におススメのスタンダードなメニューです。,ほかのメニューに変更するには電力会社に申請する必要があります。以下のリンク先から最寄りの営業所を選び、電話等で料金プランの変更を依頼ください。,http://www.hepco.co.jp/cgi-bin/branch/adrs_list.cgi,2014/11/1,,1,単価型,334.8,,,,,,246.24,,1,従量電灯三段階型,23.54,120,29.72,280,33.37,,,,,,,,,,,,,,,,,,,,,,
2,北海道電力,hepco,2,時間帯別電灯（ドリーム8）,1日を昼間時間と夜間時間に分け、夜間の料金単価を昼間の料金単価より割安に設定した料金メニューです。夜間の割安な料金単価が適用となる時間帯に電気をご使用いただけるお客さまにおすすめです。,ほかのメニューに変更するには電力会社に申請する必要があります。以下のリンク先から最寄りの営業所を選び、電話等で料金プランの変更を依頼ください。,http://www.hepco.co.jp/cgi-bin/branch/adrs_list.cgi,2014/11/1,,2,三段階型,,1404,6,2268,10,334.8,334.8,,2,昼三段階型,28.08,90,35.66,210,40.1,,,14.13,23,7,,,,,,,,,,,,,,,,,
2,北海道電力,hepco,3,ピーク抑制型時間帯別電灯（ドリーム8エコ）,時間帯別電灯をベースに冬期間の夕方にピーク時間帯を設定したメニューです。電気の使用を昼間から夜間へ移行し、冬期ピーク時間帯の電気使用を少なくするほど、電気料金の負担を軽減できます。,ほかのメニューに変更するには電力会社に申請する必要があります。以下のリンク先から最寄りの営業所を選び、電話等で料金プランの変更を依頼ください。,http://www.hepco.co.jp/cgi-bin/branch/adrs_list.cgi,2014/11/1,,2,三段階型,,1404,6,2268,10,334.8,334.8,,6,冬季ピーク型,28.08,90,35.66,210,40.1,,,14.13,23,7,,,,,,,,11/1,3/31,25.07,90,31.71,210,35.63,60.02,16,18
2,北海道電力,hepco,4,3時間帯別電灯（eタイム3）,1日を3つの時間帯に分けて料金設定したメニューです。電気の使用を割安な時間帯（夜間時間・朝晩時間）に移行するほど、電気料金の負担を軽減できます。ヒートポンプ暖房システムを使っている方に最適なメニューです。,ほかのメニューに変更するには電力会社に申請する必要があります。以下のリンク先から最寄りの営業所を選び、電話等で料金プランの変更を依頼ください。,http://www.hepco.co.jp/cgi-bin/branch/adrs_list.cgi,2014/11/1,,3,二段階型,,3175.2,10,464.4,,,334.8,,7,朝夕昼夜型,39.94,,,,,13,18,14.37,23,7,,30.35,,,,,,,,,,,,,,,
3,東北電力,tohoku,1,従量電灯BC,昼間の在宅が多い家庭や時間帯や曜日を気にせずに電気を使いたい方におススメのスタンダードなメニューです。,ほかのメニューに変更するには電力会社に申請する必要があります。以下のリンク先から最寄りの営業所を選び、電話等で料金プランの変更を依頼ください。,https://www.tohoku-epco.co.jp/callcenter/,2015/6/1,,1,単価型,324,,,,,,257.04,,1,従量電灯三段階型,18.24,120,24.87,300,28.75,,,,,,,,,,,,,,,,,,,,,,
3,東北電力,tohoku,2,時間帯別電灯A（やりくりナイト8）,夜間時間に電気のご使用量が多い方向けのメニューです。電気機器のタイマー機能などを活用し、昼間時間から夜間時間に電気の利用時間を移行することで、電気料金の節約が可能です。,ほかのメニューに変更するには電力会社に申請する必要があります。以下のリンク先から最寄りの営業所を選び、電話等で料金プランの変更を依頼ください。,https://www.tohoku-epco.co.jp/callcenter/,2015/6/1,,2,三段階型,,1404,6,1944,10,324,330.48,,2,昼三段階型,21.69,90,29.58,230,34.19,,,10.92,23,7,,,,,,,,,,,,,,,,,
